23.55.235.203,heads4-ak-spotify-com.akamaized.net
151.101.202.248,i.scdn.co
104.17.209.9,api.golinkapi.com
23.43.59.146,audio-akp-bbr-spotify-com.akamaized.net
52.114.7.37,v10.events.data.microsoft.com
172.217.11.42,remotedesktop-pa.googleapis.com
172.217.11.42,remotedesktop-pa.googleapis.com
134.209.129.254,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
68.67.179.153,nym1-ib.adnxs.com
34.232.100.167,q.adrta.com
52.0.90.180,cdn.adrta.com
185.167.164.39,c1.adform.net
52.54.193.55,ipv4.adrta.com
68.67.179.87,ib.adnxs.com
54.214.239.197,ipv6.adrta.com
34.68.125.225,rpc.znly.co
52.114.7.37,v10.events.data.microsoft.com
17.167.192.128,gs-loc.apple.com
172.217.10.238,play.google.com
172.217.12.142,www.google-analytics.com
23.43.59.146,audio-akp-bbr-spotify-com.akamaized.net
52.179.129.229,arc.msn.com
52.179.129.229,arc.msn.com
52.218.224.154,ubp-common-us-prod.s3.amazonaws.com
52.218.253.104,s3-us-west-2.amazonaws.com
13.68.92.143,ris.api.iris.microsoft.com
13.225.62.57,streamapi.majorleaguegaming.com
13.225.62.96,streamapi.majorleaguegaming.com
13.225.62.96,streamapi.majorleaguegaming.com
203.205.136.105,pub.idqqimg.com
13.225.62.96,streamapi.majorleaguegaming.com
52.25.170.114,ekg.riotgames.com
148.153.38.118,api.vc.bilibili.com
23.78.182.45,www.autodesk.com
17.248.135.203,gateway.icloud.com
3.220.241.115,www.fscta65w.com
17.57.144.164,courier.push.apple.com
17.167.194.149,gs-loc.apple.com
3.220.241.115,www.fscta65w.com
17.167.194.149,gs-loc.apple.com
144.217.180.139,bigcdnjs1.funnyjunk.com
34.218.136.14,www.gradescope.com
34.218.136.14,www.gradescope.com
34.218.136.14,www.gradescope.com
34.218.136.14,www.gradescope.com
34.218.136.14,www.gradescope.com
34.218.136.14,www.gradescope.com
104.40.17.153,wdcp.microsoft.com
13.107.42.12,d.docs.live.net
35.190.88.7,sessions.bugsnag.com
31.13.66.19,connect.facebook.net
31.13.66.35,www.facebook.com
23.62.132.253,configuration.apple.com
17.248.187.204,gateway.icloud.com
17.248.187.204,gateway.icloud.com
20.36.219.28,activity.windows.com
104.46.116.119,enterprise.activity.windows.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
52.109.6.7,ocws.officeapps.live.com
52.109.12.5,www.onenote.com
40.90.22.192,login.live.com
40.90.136.20,apis.live.net
