96.6.24.89,xp.apple.com
40.69.223.39,array612.prod.do.dsp.mp.microsoft.com
148.153.64.18,api.vc.bilibili.com
17.248.135.116,p31-keyvalueservice.icloud.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
173.194.207.108,imap.gmail.com
173.194.207.108,imap.gmail.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
184.25.176.117,sb.scorecardresearch.com
52.89.183.187,ekg.riotgames.com
34.194.140.148,pr-5c2f1a37a251ff2a6a8c6eab.data.ea.com
170.33.8.154,gs.arknights.global
104.16.0.92,na.ledge.leagueoflegends.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
104.214.150.122,v20.events.data.microsoft.com
52.230.222.68,skydrive.wns.windows.com
13.107.42.12,bn1303.storage.live.com
13.107.42.12,api.onedrive.com
52.113.194.132,config.teams.microsoft.com
173.194.207.108,imap.gmail.com
173.194.207.108,imap.gmail.com
173.194.207.108,imap.gmail.com
52.114.76.37,mobile.pipe.aria.microsoft.com
52.114.76.37,mobile.pipe.aria.microsoft.com
54.80.77.89,www.netflix.com
165.254.49.140,steamcdn-a.akamaihd.net
23.35.131.46,go.microsoft.com
104.16.0.92,na.ledge.leagueoflegends.com
17.253.97.203,valid.apple.com
172.217.10.238,play.google.com
54.68.32.148,R5-ps4-sub.stryder.respawn.com
54.239.21.139,feed.browserapps.amazon.com
35.227.229.34,api.bounceexchange.com
35.190.62.200,events.bouncex.net
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
52.45.208.102,datarouter.ol.epicgames.com
40.91.72.120,presence-heartbeat.xboxlive.com
192.81.242.130,34acf0414d836d3f8d491c6186153694.my.2k.com
151.101.210.214,static-cdn.jtvnw.net
159.153.190.222,proxy.novafusion.ea.com
162.159.138.234,japan184.discord.media
52.114.158.102,v20.events.data.microsoft.com
52.4.129.197,river.data.ea.com
172.217.10.234,safebrowsing.googleapis.com
17.248.187.12,p10-caldav.icloud.com
162.159.135.233,discordapp.com
96.17.64.80,help.apple.com
31.13.65.1,www.messenger.com
162.159.133.232,media.discordapp.net
17.248.135.173,keyvalueservice.icloud.com
17.248.135.173,p10-keyvalueservice.icloud.com
23.5.227.168,smp-device-content.apple.com
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
54.85.109.5,www.netflix.com
159.153.190.222,proxy.novafusion.ea.com
173.194.207.109,imap.gmail.com
172.217.12.202,chat-pa.clients6.google.com
162.159.135.233,discordapp.com
173.194.207.109,imap.gmail.com
204.79.197.200,www.bing.com
17.248.187.135,gateway.icloud.com
40.69.221.239,array608.prod.do.dsp.mp.microsoft.com
52.20.168.249,www.netflix.com
17.248.135.45,gateway.icloud.com
104.67.12.13,disc601.prod.do.dsp.mp.microsoft.com
17.248.187.6,gateway.icloud.com
35.186.224.47,dealer.spotify.com
13.225.230.125,cf-st.sc-cdn.net
17.248.187.6,gateway.icloud.com
20.44.121.140,ims-prod06.adobelogin.com
20.186.114.88,ims-na1.adobelogin.com
52.114.128.9,mobile.pipe.aria.microsoft.com
20.186.56.152,ims-na1.adobelogin.com
3.231.119.135,cc-api-data.adobe.io
34.214.152.0,photos.adobe.io
34.214.152.0,photos.adobe.io
3.90.133.71,cc-api-data.adobe.io
3.212.185.248,pro-accounts.snapchat.com
40.79.66.209,geo.prod.do.dsp.mp.microsoft.com
104.67.12.13,kv601.prod.do.dsp.mp.microsoft.com
104.67.12.13,cp601.prod.do.dsp.mp.microsoft.com
104.67.12.13,cp601.prod.do.dsp.mp.microsoft.com
104.67.12.13,disc601.prod.do.dsp.mp.microsoft.com
104.67.12.13,disc601.prod.do.dsp.mp.microsoft.com
104.67.12.13,cp601.prod.do.dsp.mp.microsoft.com
104.67.12.13,disc601.prod.do.dsp.mp.microsoft.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
40.69.216.73,array611.prod.do.dsp.mp.microsoft.com
40.79.66.209,geo.prod.do.dsp.mp.microsoft.com
40.79.66.209,geo.prod.do.dsp.mp.microsoft.com
40.79.66.209,geo.prod.do.dsp.mp.microsoft.com
13.107.3.128,config.edge.skype.com
34.205.108.122,adobesearch.adobe.io
34.205.108.122,adobesearch.adobe.io
52.4.129.197,river.data.ea.com
140.177.16.37,www.wolframalpha.com
140.177.16.37,www.wolframalpha.com
52.114.77.33,mobile.pipe.aria.microsoft.com
52.114.77.33,mobile.pipe.aria.microsoft.com
162.159.128.232,media.discordapp.net
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
17.248.135.176,p27-ckdatabase.icloud.com
151.101.1.167,t3.ftcdn.net
151.101.1.167,t3.ftcdn.net
151.101.1.167,t3.ftcdn.net
151.101.1.167,t3.ftcdn.net
151.101.1.167,t3.ftcdn.net
13.107.21.200,www.bing.com
17.248.135.176,p27-ckdatabase.icloud.com
17.248.135.170,p27-content.icloud.com
17.248.135.211,edge-123.usnyc.icloud-content.com
