23.2.40.27,bag.itunes.apple.com
128.116.112.44,users.roblox.com
216.98.62.71,msr-public-ubiservices.ubi.com
8.43.72.113,fastlane.rubiconproject.com
31.13.65.7,scontent.xx.fbcdn.net
20.36.252.129,g.live.com
23.36.33.234,oneclient.sfx.ms
52.114.6.47,mobile.pipe.aria.microsoft.com
52.114.6.47,mobile.pipe.aria.microsoft.com
159.153.190.222,proxy.novafusion.ea.com
13.225.63.55,d3cv4a9a9wh0bt.cloudfront.net
13.226.36.61,d3cv4a9a9wh0bt.cloudfront.net
104.18.181.233,search.proquest.com
13.226.36.189,d3cv4a9a9wh0bt.cloudfront.net
35.169.227.24,river.data.ea.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
96.6.24.64,us-prof.np.community.playstation.net
52.11.105.241,ekg.riotgames.com
159.153.190.222,proxy.novafusion.ea.com
104.196.12.179,eg.poly.edu
172.217.163.237,accounts.google.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
96.6.24.64,us-prof.np.community.playstation.net
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
162.159.130.233,discordapp.com
172.217.11.19,cloud.bluestacks.com
96.6.24.64,us-ivt.np.community.playstation.net
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
13.225.62.69,cdn3.bluestacks.com
96.6.24.64,us-prof.np.community.playstation.net
52.179.129.229,arc.msn.com
162.159.129.233,discordapp.com
52.34.208.16,ekg.riotgames.com
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
35.221.62.219,static.hotjar.com
172.217.6.202,securetoken.googleapis.com
172.217.6.225,lh3.googleusercontent.com
172.217.9.234,www.googleapis.com
35.201.97.85,s-usc1c-nss-267.firebaseio.com
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
35.169.227.24,river.data.ea.com
20.36.218.63,settings-win.data.microsoft.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
52.4.249.206,www.netflix.com
69.192.108.239,api1.origin.com
96.6.24.64,us-prof.np.community.playstation.net
172.217.7.3,update.googleapis.com
52.89.183.187,ekg.riotgames.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
24.105.29.76,telemetry-in.battle.net
172.217.7.10,safebrowsing.googleapis.com
31.13.65.36,www.facebook.com
172.217.10.68,www.google.com
13.226.39.82,cdn-bgp.bluestacks.com
172.217.11.19,cloud.bluestacks.com
172.217.11.46,app-measurement.com
13.56.173.11,eb.bluestacks.com
172.217.10.83,cloud.bluestacks.com
13.56.173.11,eb.bluestacks.com
13.56.173.11,eb.bluestacks.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
52.109.4.5,mrodevicemgr.officeapps.live.com
172.253.122.188,mtalk.google.com
54.71.49.71,ece4.playfabapi.com
172.217.10.3,connectivitycheck.gstatic.com
172.217.10.3,connectivitycheck.gstatic.com
34.197.129.254,datarouter.ol.epicgames.com
13.56.173.11,eb.bluestacks.com
172.217.3.106,play.googleapis.com
13.225.212.114,i1.sndcdn.com
13.225.59.51,api-v2.soundcloud.com
13.225.59.51,api-v2.soundcloud.com
13.226.39.23,cf-hls-media.sndcdn.com
13.226.39.23,cf-hls-media.sndcdn.com
96.6.24.64,us-prof.np.community.playstation.net
172.217.10.3,connectivitycheck.gstatic.com
52.114.158.92,v10.events.data.microsoft.com
52.114.128.10,v20.events.data.microsoft.com
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
52.4.128.184,www.netflix.com
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
52.4.128.184,www.netflix.com
45.57.90.1,codex.nflxext.com
45.57.91.1,assets.nflxext.com
52.4.128.184,www.netflix.com
172.217.12.138,android.googleapis.com
52.114.74.44,v10.events.data.microsoft.com
45.57.90.1,codex.nflxext.com
52.4.128.184,www.netflix.com
45.57.91.1,assets.nflxext.com
172.217.10.78,android.clients.google.com
172.217.6.234,playatoms-pa.googleapis.com
172.217.12.138,android.googleapis.com
17.167.194.47,gsp85-ssl.ls.apple.com
172.217.11.34,googleads.g.doubleclick.net
172.217.9.234,www.googleapis.com
52.4.128.184,www.netflix.com
172.217.11.34,googleads.g.doubleclick.net
172.217.9.234,www.googleapis.com
128.116.112.44,users.roblox.com
172.217.12.170,footprints-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
45.57.90.1,codex.nflxext.com
45.57.91.1,assets.nflxext.com
52.4.128.184,www.netflix.com
198.74.62.170,syllablecounter.net
172.217.9.234,www.googleapis.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
52.4.128.184,www.netflix.com
17.248.135.239,p25-contacts.icloud.com
52.44.28.206,nummus.robinhood.com
52.179.129.229,arc.msn.com
184.72.104.138,duckduckgo.com
45.57.90.1,codex.nflxext.com
45.57.91.1,assets.nflxext.com
172.217.10.78,android.clients.google.com
52.4.128.184,www.netflix.com
172.217.10.131,fonts.gstatic.com
172.253.122.108,imap.gmail.com
172.253.122.108,imap.gmail.com
172.217.10.22,i.ytimg.com
172.217.12.161,yt3.ggpht.com
172.217.12.161,yt3.ggpht.com
172.217.12.161,yt3.ggpht.com
172.217.12.161,yt3.ggpht.com
172.217.12.161,yt3.ggpht.com
128.116.112.44,users.roblox.com
13.226.36.20,d3cv4a9a9wh0bt.cloudfront.net
13.107.3.128,config.edge.skype.com
17.248.187.139,edge-177.usnyc.icloud-content.com
17.248.135.81,p57-content.icloud.com
13.107.18.11,substrate.office.com
13.107.18.11,substrate.office.com
52.114.88.29,mobile.pipe.aria.microsoft.com
172.217.24.202,safebrowsing.googleapis.com
17.253.15.202,mesu.apple.com
104.18.181.233,search.proquest.com
17.248.187.136,api.apple-cloudkit.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
172.217.10.3,connectivitycheck.gstatic.com
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
40.67.188.15,presence-heartbeat.xboxlive.com
99.84.55.12,api-cache.blizzcon.com
96.6.24.64,us-prof.np.community.playstation.net
35.186.224.53,spclient.wg.spotify.com
128.116.112.44,users.roblox.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
72.21.91.70,pbs.twimg.com
192.229.210.163,video.twimg.com
104.244.42.66,api.twitter.com
72.21.91.70,pbs.twimg.com
192.229.210.163,video.twimg.com
35.188.42.15,sentry.io
69.195.185.128,api-38-0-0.twitter.com
24.105.29.76,telemetry-in.battle.net
209.237.204.128,api-0-4-8.twitter.com
209.237.198.128,api-0-4-3.twitter.com
69.195.184.128,api-32-0-0.twitter.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
52.86.89.44,www.netflix.com
52.179.129.229,arc.msn.com
69.195.175.128,api-39-0-0.twitter.com
52.39.217.56,ps4updptl.us.np.community.playstation.net
17.57.144.165,courier.push.apple.com
34.195.227.190,datarouter.ol.epicgames.com
23.10.82.67,event.api.np.km.playstation.net
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
20.36.218.63,settings-win.data.microsoft.com
31.13.65.7,scontent.xx.fbcdn.net
52.114.32.25,v10.events.data.microsoft.com
34.68.125.225,rpc.znly.co
34.68.125.225,rpc.znly.co
17.134.127.249,gs-loc.apple.com
52.114.158.92,mobile.pipe.aria.microsoft.com
59.111.239.61,httpdns.n.netease.com
103.126.92.132,interface.music.163.com
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
52.86.210.197,www.netflix.com
173.194.31.252,r6---sn-ab5l6nzd.googlevideo.com
172.217.7.10,remotedesktop-pa.googleapis.com
172.217.7.10,remotedesktop-pa.googleapis.com
128.116.112.44,users.roblox.com
172.217.11.46,calendar.google.com
172.217.11.46,calendar.google.com
34.68.125.225,rpc.znly.co
172.217.11.46,calendar.google.com
17.134.127.250,gs-loc.apple.com
172.217.11.46,calendar.google.com
96.6.24.64,us-prof.np.community.playstation.net
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
96.6.24.64,ss-mngr.np.community.playstation.net
198.74.62.170,syllablecounter.net
60.205.234.210,ldc.lenovo.com.cn
52.114.75.79,v10.events.data.microsoft.com
40.90.22.190,login.live.com
108.177.125.189,cello.client-channel.google.com
52.179.129.229,arc.msn.com
172.217.11.3,settings.crashlytics.com
172.217.26.142,drive.google.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
96.6.24.64,us-prof.np.community.playstation.net
128.116.112.44,users.roblox.com
104.16.1.92,na.ledge.leagueoflegends.com
173.194.185.198,r1---sn-ab5l6ndr.googlevideo.com
60.205.234.210,ldc.lenovo.com.cn
172.217.10.5,mail.google.com
35.186.220.184,collector-pxzyvfoxac.px-cloud.net
96.6.24.64,us-prof.np.community.playstation.net
104.18.181.233,search.proquest.com
3.90.133.71,acp-ss-ue1.adobe.io
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
52.13.229.94,ekg.riotgames.com
69.192.108.239,api1.origin.com
69.192.108.239,api1.origin.com
20.36.219.28,activity.windows.com
52.41.38.113,ekg.riotgames.com
54.244.28.12,ece4.playfabapi.com
104.16.0.92,na.ledge.leagueoflegends.com
128.116.112.44,users.roblox.com
172.217.10.3,beacons.gvt2.com
172.217.31.227,ssl.gstatic.com
54.213.30.47,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
172.217.11.19,cloud.bluestacks.com
54.240.225.132,sqs.ap-northeast-1.amazonaws.com
45.57.90.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
54.88.114.225,www.netflix.com
31.13.65.51,graph.oculus.com
31.13.65.51,graph.oculus.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
31.13.65.1,graph.facebook.com
52.17.61.134,exceptions.singular.net
104.17.187.107,zwyr157wwiu6eior.com
104.110.158.137,ak-live-version.game.playstove.com
52.37.120.92,sdk-api-v1.singular.net
185.151.204.10,app.adjust.com
104.16.119.50,auth.riotgames.com
104.16.198.132,entitlements.auth.riotgames.com
104.16.198.132,entitlements.auth.riotgames.com
104.18.25.250,pas.geo.si.riotgames.com
17.248.187.196,p31-caldav.icloud.com
52.218.128.156,s3-us-west-2.amazonaws.com
54.201.13.152,ekg.riotgames.com
17.248.135.182,p31-caldav.icloud.com
52.179.129.229,arc.msn.com
216.98.62.23,msr-public-ubiservices.ubi.com
13.225.212.160,static.playstove.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
52.3.72.167,kessel-ws.parsecgaming.com
185.151.204.10,app.adjust.com
44.230.197.219,ekg.riotgames.com
13.225.212.160,static.playstove.com
23.78.175.142,apis.playstove.com
52.218.244.10,ubp-common-us-prod.s3.amazonaws.com
23.78.195.232,api.onstove.com
211.234.127.21,logs.81plug.com
52.168.20.22,client.teamviewer.com
162.159.129.233,cdn.discordapp.com
172.253.63.108,imap.gmail.com
96.6.24.64,us-prof.np.community.playstation.net
211.234.127.21,logs.81plug.com
52.37.120.92,sdk-api-v1.singular.net
211.234.127.21,logs.81plug.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
3.234.31.129,activate.platform.californiatimes.com
45.57.91.1,assets.nflxext.com
35.168.223.51,www.netflix.com
35.168.223.51,www.netflix.com
45.57.91.1,codex.nflxext.com
172.217.3.106,play.googleapis.com
172.217.3.106,play.googleapis.com
172.217.3.106,play.googleapis.com
128.116.112.44,users.roblox.com
172.217.10.10,wirelessdevicestats.googleapis.com
172.217.10.10,wirelessdevicestats.googleapis.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
150.70.183.140,titanium160-en.fbs25.trendmicro.com
20.36.218.63,settings-win.data.microsoft.com
172.217.161.174,clients6.google.com
203.205.158.52,pub.idqqimg.com
44.230.197.219,ekg.riotgames.com
172.217.161.174,clients6.google.com
31.13.65.7,scontent.xx.fbcdn.net
130.211.16.53,d.joinhoney.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
165.254.49.142,steamcdn-a.akamaihd.net
23.60.68.80,steamstore-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
52.114.158.102,v10.events.data.microsoft.com
35.186.224.53,spclient.wg.spotify.com
128.116.112.44,users.roblox.com
17.248.135.72,p10-caldav.icloud.com
31.13.71.36,www.facebook.com
52.179.129.229,arc.msn.com
13.225.62.63,api-cache.blizzcon.com
172.217.10.238,play.google.com
96.6.24.64,us-prof.np.community.playstation.net
104.18.181.233,search.proquest.com
104.16.122.97,www.webassign.net
104.16.122.97,www.webassign.net
172.217.7.10,safebrowsing.googleapis.com
31.13.65.1,www.messenger.com
128.116.112.44,users.roblox.com
96.6.24.64,us-prof.np.community.playstation.net
96.6.24.172,image.api.np.km.playstation.net
96.6.24.64,us-prof.np.community.playstation.net
96.17.66.31,fpdownload.macromedia.com
172.217.12.206,drive.google.com
172.217.12.206,drive.google.com
96.6.24.64,us-prof.np.community.playstation.net
45.57.90.1,codex.nflxext.com
45.57.90.1,assets.nflxext.com
52.23.100.14,www.netflix.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
172.217.10.74,addons-pa.clients6.google.com
69.192.110.179,theia.dl.playstation.net
96.6.24.64,us-prof.np.community.playstation.net
52.40.114.214,profile.api.playstation.com
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
172.217.12.142,lh3.google.com
96.6.24.12,gamelist.api.playstation.com
96.6.24.12,communities.api.playstation.com
96.6.24.64,us-ivt.np.community.playstation.net
96.6.24.64,us-fllw.np.community.playstation.net
23.10.82.67,event.api.np.km.playstation.net
3.89.214.96,smetrics.aem.playstation.com
104.16.0.92,na.ledge.leagueoflegends.com
96.6.24.12,music.api.playstation.com
96.6.24.172,image.api.np.km.playstation.net
209.85.144.189,cello.client-channel.google.com
172.217.11.14,docs.google.com
31.13.65.7,scontent.xx.fbcdn.net
13.107.3.128,config.edge.skype.com
52.179.129.229,arc.msn.com
52.205.241.63,datarouter.ol.epicgames.com
52.23.119.196,rtm.tnt-ea.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
70.37.74.6,smartscreen-prod.microsoft.com
172.217.11.46,google.com
103.126.92.132,interface.music.163.com
184.87.62.21,tms16.icrc.trendmicro.com
184.87.62.21,tms16.icrc.trendmicro.com
184.87.62.21,tms16.icrc.trendmicro.com
184.87.62.21,tms16.icrc.trendmicro.com
45.57.91.1,assets.nflxext.com
