23.194.122.27,us-ivt.np.community.playstation.net
13.107.136.9,nyu0-my.sharepoint.com
13.225.212.54,firefox.settings.services.mozilla.com
13.225.62.68,content-signature-2.cdn.mozilla.net
31.13.65.1,graph.facebook.com
23.54.160.18,dldir1.qq.com
23.54.160.18,dldir1.qq.com
23.54.160.18,dldir1.qq.com
23.54.160.18,dldir1.qq.com
23.54.160.18,dldir1.qq.com
23.47.147.197,configuration.ls.apple.com
148.153.38.118,api.bilibili.com
148.153.38.118,api.bilibili.com
164.52.33.179,data.bilibili.com
203.205.253.140,appstore.browser.qq.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
3.85.46.41,acp-ss-ue1.adobe.io
52.179.224.121,client.wns.windows.com
104.16.2.92,na.ledge.leagueoflegends.com
23.208.57.109,cl3.apple.com
40.90.22.184,login.live.com
104.18.44.69,securelogin4.funnyjunk.com
149.56.126.48,funnyjunk.com
107.167.110.211,sitecheck.opera.com
52.179.224.121,client.wns.windows.com
198.27.121.189,bigcdnjs4.funnyjunk.com
104.18.44.69,memeworld.funnyjunk.com
13.107.42.12,d.docs.live.net
52.109.6.40,odc.officeapps.live.com
203.205.239.16,p.qlogo.cn
13.107.136.9,nyu0-my.sharepoint.com
13.226.39.13,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
104.18.156.37,clientconfig.rpg.riotgames.com
107.167.110.211,sitecheck.opera.com
149.56.126.48,funnyjunk.com
104.18.44.69,securelogin4.funnyjunk.com
104.18.44.69,memeworld.funnyjunk.com
192.184.68.169,pixel.quantserve.com
144.217.180.139,bigcdnjs1.funnyjunk.com
17.142.171.7,gsp64-ssl.ls.apple.com
151.101.0.93,www.houzz.com
104.18.157.37,clientconfig.rpg.riotgames.com
123.125.9.11,3gimg.qq.com
13.107.136.9,nyu0-my.sharepoint.com
148.153.38.118,api.bilibili.com
198.27.121.189,bigcdnjs4.funnyjunk.com
13.107.136.9,nyu0-my.sharepoint.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
164.52.33.179,data.bilibili.com
40.90.22.186,login.live.com
203.205.255.88,i.y.qq.com
104.16.37.99,data.riotgames.com
203.205.248.81,203.205.248.81
104.18.44.69,securelogin4.funnyjunk.com
198.27.121.189,bigcdnjs4.funnyjunk.com
40.90.22.186,login.live.com
40.90.136.19,storage.live.com
170.33.8.154,gs.arknights.global
40.90.22.186,login.live.com
13.68.225.90,nav.smartscreen.microsoft.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
13.68.225.90,smartscreen-prod.microsoft.com
13.107.246.10,logincdn.msauth.net
13.107.246.10,logincdn.msauth.net
13.107.246.10,logincdn.msauth.net
13.107.136.9,nyu0-my.sharepoint.com
13.107.246.10,logincdn.msauth.net
13.107.246.10,logincdn.msauth.net
34.197.161.16,datarouter.ol.epicgames.com
52.179.129.229,arc.msn.com
192.99.103.81,bigcdnjs2.funnyjunk.com
104.16.3.92,na.ledge.leagueoflegends.com
148.153.38.118,api.bilibili.com
68.67.160.114,ib.adnxs.com
40.67.188.15,presence-heartbeat.xboxlive.com
148.153.64.18,api.vc.bilibili.com
13.107.136.9,nyu0-my.sharepoint.com
34.199.253.74,userstylesapi.com
34.192.55.61,instagram.com
172.217.6.206,play.google.com
203.205.239.158,q1.qlogo.cn
31.13.71.174,www.instagram.com
203.205.239.158,q4.qlogo.cn
203.205.239.158,q2.qlogo.cn
198.27.121.188,bigcdnjs3.funnyjunk.com
13.107.42.12,d.docs.live.net
203.205.255.248,q3.qlogo.cn
13.107.18.11,substrate.office.com
52.109.6.6,roaming.officeapps.live.com
