52.0.151.162,datarouter.ol.epicgames.com
128.116.112.44,users.roblox.com
52.114.74.44,mobile.pipe.aria.microsoft.com
172.217.3.99,beacons3.gvt2.com
208.185.50.90,pixel.rubiconproject.com
20.36.218.63,settings-win.data.microsoft.com
208.185.50.90,token.rubiconproject.com
208.185.50.90,pixel.rubiconproject.com
104.22.2.109,builds.parsecgaming.com
104.22.2.109,builds.parsecgaming.com
104.16.31.91,na.ledge.leagueoflegends.com
24.105.29.76,telemetry-in.battle.net
104.18.181.233,search.proquest.com
172.217.10.106,remotedesktop-pa.googleapis.com
172.217.10.106,remotedesktop-pa.googleapis.com
13.225.62.12,cf-hls-media.sndcdn.com
52.179.129.229,arc.msn.com
204.154.111.142,tps10253.doubleverify.com
204.154.111.120,tps10258.doubleverify.com
104.18.122.104,america.tas.riotgames.com
173.194.131.59,r5---sn-ab5l6n6e.googlevideo.com
54.244.28.12,ece4.playfabapi.com
173.194.131.59,r5---sn-ab5l6n6e.googlevideo.com
204.154.111.120,tps10258.doubleverify.com
208.185.50.90,token.rubiconproject.com
23.78.208.56,init.itunes.apple.com
17.120.254.9,p36-buy.itunes.apple.com
52.89.126.68,ekg.riotgames.com
216.165.46.10,newclasses.nyu.edu
128.116.112.44,users.roblox.com
17.57.144.52,courier.push.apple.com
35.186.224.53,spclient.wg.spotify.com
39.106.232.147,ldc.lenovo.com.cn
13.225.59.39,l9bjkkhaycw6f8f4.soundcloud.com
162.159.135.233,discordapp.com
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
103.126.92.132,interface.music.163.com
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
52.89.126.68,ekg.riotgames.com
17.248.216.1,p13-keyvalueservice.icloud.com.cn
13.68.168.63,spoc.norton.com
39.106.232.147,ldc.lenovo.com.cn
13.225.62.12,cf-hls-media.sndcdn.com
35.186.224.53,spclient.wg.spotify.com
162.159.135.233,cdn.discordapp.com
100.26.116.127,ss-prod-ue1-notif-27.aws.adobess.com
13.225.212.39,pushkin-cf.tidal.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
128.116.112.44,users.roblox.com
151.101.202.133,ad.lkqd.net
128.238.155.11,128.238.155.11
31.13.65.36,www.facebook.com
72.21.202.25,cloudfront-labs.amazonaws.com
128.238.155.11,128.238.155.11
52.89.126.68,ekg.riotgames.com
99.84.47.66,aab1676bd4eb61cf911b7d73e7f6e05e6.profile.ewr52-c4.cloudfront.net
39.106.232.147,ldc.lenovo.com.cn
185.86.138.78,www14.smartadserver.com
39.106.232.147,ldc.lenovo.com.cn
198.27.75.147,ads.stickyadstv.com
198.27.75.147,ads.stickyadstv.com
198.27.75.147,ads.stickyadstv.com
68.67.179.173,ib.adnxs.com
68.67.179.173,ib.adnxs.com
69.175.41.44,ap.lijit.com
198.148.27.131,ads.contextweb.com
69.175.41.44,ap.lijit.com
13.225.62.12,cf-hls-media.sndcdn.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
198.27.75.147,ads.stickyadstv.com
35.186.220.184,collector-pxzyvfoxac.px-cloud.net
173.194.131.59,r5---sn-ab5l6n6e.googlevideo.com
54.71.49.71,ece4.playfabapi.com
52.114.77.33,v10.events.data.microsoft.com
3.225.12.249,h250p-nj545.ads.tremorhub.com
162.159.133.232,images-ext-1.discordapp.net
104.26.8.55,krunker.io
96.6.24.25,www.paypalobjects.com
39.106.232.147,ldc.lenovo.com.cn
128.116.112.44,users.roblox.com
13.225.206.153,slack.com
172.253.63.95,fcm-stream.googleapis.com
110.88.157.254,saascdn.lenovo.com.cn
185.167.164.42,c1.adform.net
172.217.10.37,mail.google.com
69.192.108.158,cdn.spotxcdn.com
52.1.232.25,pxl.iqm.com
173.231.184.20,cm.adgrx.com
52.201.8.139,sync.ipredictive.com
51.161.117.180,gu.dyntrk.com
50.116.194.21,ad.turn.com
185.167.164.42,c1.adform.net
68.67.160.137,ib.adnxs.com
85.114.159.93,dsp.adfarm1.adition.com
185.167.164.42,c1.adform.net
50.116.194.23,d.turn.com
185.167.164.42,c1.adform.net
68.67.160.23,ib.adnxs.com
13.225.62.12,cf-hls-media.sndcdn.com
68.67.160.78,nym1-ib.adnxs.com
3.225.5.167,api.us-east-1.aiv-delivery.net
68.67.181.211,b.adnxs.com
192.184.68.169,exch.quantserve.com
128.1.102.20,sqimg.qq.com
34.205.98.70,sync.tidaltv.com
52.1.232.25,pxl.iqm.com
96.17.66.14,quantcast584928381.s.moatpixel.com
96.17.66.14,quantcast584928381.s.moatpixel.com
52.179.129.229,arc.msn.com
69.192.110.94,z.moatads.com
128.116.112.44,users.roblox.com
104.16.121.97,www.webassign.net
104.16.121.97,www.webassign.net
13.225.206.34,images-eu.ssl-images-amazon.com
38.106.231.204,osfsr.lenovomm.com
13.226.36.209,d1nruqhae353qc.cloudfront.net
69.192.108.158,cdn.spotxcdn.com
13.225.63.99,d2h8zr0m6mus4x.cloudfront.net
173.194.207.189,hr.client-channel.google.com
52.1.232.25,pxl.iqm.com
20.36.218.63,settings-win.data.microsoft.com
13.225.203.46,l9bjkkhaycw6f8f4.soundcloud.com
