45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
17.248.187.140,gateway.icloud.com
40.90.22.184,login.live.com
51.143.111.7,watson.telemetry.microsoft.com
35.186.224.47,dealer.spotify.com
31.13.66.19,scontent.xx.fbcdn.net
52.179.224.121,client.wns.windows.com
104.107.188.184,cdn.onenote.net
40.114.105.100,inference.location.live.net
40.114.105.100,inference.location.live.net
52.114.32.8,v20.events.data.microsoft.com
35.227.237.213,www.feelinsonice.com
216.239.36.126,app.snapchat.com
18.215.65.194,aws.api.snapchat.com
34.231.173.114,loca.sc-jpl.com
13.225.62.16,cf-st.sc-cdn.net
13.68.93.109,sls.update.microsoft.com
13.225.62.16,cf-st.sc-cdn.net
20.36.218.63,settings-win.data.microsoft.com
13.88.28.53,self.events.data.microsoft.com
35.186.197.135,app-analytics.snapchat.com
13.225.62.16,cf-st.sc-cdn.net
204.79.197.200,www.bing.com
20.36.218.63,settings-win.data.microsoft.com
52.114.158.92,v10.events.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
13.68.93.109,sls.update.microsoft.com
52.109.88.34,nexusrules.officeapps.live.com
20.36.218.63,settings-win.data.microsoft.com
40.90.22.184,login.live.com
52.114.32.8,v20.events.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
131.253.14.229,storage.live.com
146.0.238.102,notifier-03.escapefromtarkov.com
13.68.93.109,sls.update.microsoft.com
20.44.85.237,displaycatalog.mp.microsoft.com
65.52.198.70,smartscreen-prod.microsoft.com
52.177.164.251,purchase.mp.microsoft.com
52.179.129.229,arc.msn.com
204.79.197.200,www.bing.com
52.177.164.251,purchase.mp.microsoft.com
104.17.142.21,loadouts.na2.leagueoflegends.com
52.114.158.92,v10.events.data.microsoft.com
13.107.42.12,d.docs.live.net
13.86.124.174,fe2.update.microsoft.com
104.107.176.162,go.microsoft.com
172.217.6.193,apidata.googleusercontent.com
172.217.11.36,www.google.com
173.194.68.109,imap.gmail.com
172.217.12.173,accounts.google.com
157.55.109.230,windows.policies.live.net
173.194.68.109,imap.gmail.com
17.248.187.6,gateway.icloud.com
13.107.42.12,dm2305.storage.live.com
54.186.31.197,video-edge-27bce6.pdx01.abs.hls.ttvnw.net
20.190.135.56,graph.microsoft.com
172.217.6.238,clients2.google.com
23.196.130.217,configuration.apple.com
17.248.187.6,p42-ckdatabase.icloud.com
44.230.197.219,ekg.riotgames.com
52.114.75.78,mobile.pipe.aria.microsoft.com
17.248.135.13,p42-content.icloud.com
17.132.29.136,us-east-1.blobstore.apple.com
17.248.187.6,p42-ckdatabase.icloud.com
13.107.5.88,evoke-windowsservices-tas.msedge.net
35.190.43.134,gcp.api.snapchat.com
17.248.187.6,p42-ckdatabase.icloud.com
17.248.187.6,p42-ckdatabase.icloud.com
17.248.135.241,p42-content.icloud.com
23.40.28.11,settings-ssl.xboxlive.com
17.248.135.118,edge-085.usnyc.icloud-content.com
104.17.209.9,api.golinkapi.com
20.36.252.129,g.live.com
96.6.25.94,oneclient.sfx.ms
13.107.3.128,config.edge.skype.com
162.159.130.233,discordapp.com
157.55.212.205,checkappexec.microsoft.com
13.107.136.9,nyu0-my.sharepoint.com
34.215.1.47,pipes-prod-glutton.public.aws.demonware.net
23.40.30.29,us-prof.np.community.playstation.net
192.229.163.146,cfg.gog.com
52.114.32.8,v10.events.data.microsoft.com
111.221.29.40,fe3.delivery.mp.microsoft.com
13.225.64.110,d3cv4a9a9wh0bt.cloudfront.net
107.23.97.250,auth.grammarly.com
172.217.12.173,accounts.google.com
172.217.12.202,www.googleapis.com
172.217.11.36,www.google.com
3.221.220.115,data.grammarly.com
18.213.221.141,f-log-extension.grammarly.io
52.113.194.132,config.teams.microsoft.com
40.90.22.192,login.live.com
172.253.122.188,mtalk.google.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.47.16,shibboleth.nyu.edu
17.248.135.213,gateway.icloud.com
20.190.135.56,graph.microsoft.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
52.114.75.78,mobile.pipe.aria.microsoft.com
216.165.47.12,www.nyu.edu
172.217.3.99,www.gstatic.com
172.217.3.99,www.gstatic.com
172.217.11.35,clientservices.googleapis.com
34.226.158.119,account-public-service-prod03.ol.epicgames.com
107.23.113.17,launcher-public-service-prod06.ol.epicgames.com
52.114.75.78,mobile.pipe.aria.microsoft.com
13.107.42.12,dm2305.storage.live.com
52.239.184.10,onedriveclucprodbn20010.blob.core.windows.net
157.55.109.230,skydrivesync.policies.live.net
20.36.218.63,settings.data.microsoft.com
159.153.191.240,accounts.ea.com
96.6.27.66,stage.secure.download.dm.origin.com
159.153.191.240,accounts.ea.com
96.6.27.66,api1.origin.com
52.54.188.100,rtm.tnt-ea.com
13.107.42.12,dm2305.storage.live.com
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
23.38.167.33,steamcdn-a.akamaihd.net
54.241.191.153,api-e4c9863e.duosecurity.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
13.107.42.12,api.onedrive.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
54.241.191.153,api-e4c9863e.duosecurity.com
23.40.30.29,us-prof.np.community.playstation.net
172.217.11.14,docs.google.com
104.107.184.14,kv801.prod.do.dsp.mp.microsoft.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
159.153.191.238,gateway.ea.com
34.235.102.14,dirtybits.api.origin.com
52.3.24.32,groups.gameservices.ea.com
34.237.101.103,friends.gs.ea.com
34.237.101.103,friends.gs.ea.com
34.237.101.103,friends.gs.ea.com
34.237.101.103,friends.gs.ea.com
52.3.24.32,groups.gameservices.ea.com
68.67.178.15,nym1-ib.adnxs.com
68.67.178.15,nym1-ib.adnxs.com
20.36.219.28,activity.windows.com
185.167.164.49,c1.adform.net
52.179.224.121,skydrive.wns.windows.com
68.67.160.74,ib.adnxs.com
54.239.31.63,identity.browserapps.amazon.com
54.239.31.63,identity.browserapps.amazon.com
13.107.42.12,dm2305.storage.live.com
159.153.191.240,accounts.ea.com
172.217.7.3,update.googleapis.com
159.153.191.238,gateway.ea.com
96.6.27.66,api1.origin.com
96.6.27.66,api3.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
96.6.27.66,api1.origin.com
104.17.209.9,api.golinkapi.com
52.159.17.76,tsfe.trafficshaping.dsp.mp.microsoft.com
23.40.30.29,asm.np.community.playstation.net
23.40.30.29,us-ivt.np.community.playstation.net
162.159.133.234,gateway.discord.gg
40.69.221.239,geo.prod.do.dsp.mp.microsoft.com
162.159.129.235,best.discord.media
162.159.129.233,status.discordapp.com
162.159.129.233,discordapp.com
104.107.184.14,kv801.prod.do.dsp.mp.microsoft.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
163.177.71.182,nseed.minigame.qq.com
96.6.27.66,api1.origin.com
52.114.32.8,v10.events.data.microsoft.com
104.107.184.14,cp801.prod.do.dsp.mp.microsoft.com
8.253.131.95,ssl-lvlt.cdn.ea.com
8.253.131.95,ssl-lvlt.cdn.ea.com
