52.1.79.74,datarouter-prod.ak.epicgames.com
173.222.100.177,www.zhihu.com
24.105.29.76,telemetry-in.battle.net
162.159.128.232,media.discordapp.net
31.13.66.19,static.xx.fbcdn.net
20.36.252.129,g.live.com
20.36.218.63,settings-win.data.microsoft.com
23.194.121.125,oneclient.sfx.ms
52.114.128.44,v10.events.data.microsoft.com
204.79.197.200,www.bing.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.114.128.43,mobile.pipe.aria.microsoft.com
23.51.181.125,pic3.zhimg.com
23.51.181.125,pic4.zhimg.com
23.51.181.125,pic2.zhimg.com
23.51.181.125,pic1.zhimg.com
192.229.173.16,abs.twimg.com
192.229.173.16,abs.twimg.com
35.186.224.53,spclient.wg.spotify.com
69.195.179.128,api-24-0-0.twitter.com
209.237.195.128,api-0-5-0.twitter.com
52.114.76.34,mobile.pipe.aria.microsoft.com
52.114.76.34,mobile.pipe.aria.microsoft.com
209.237.194.128,api-3-0-0.twitter.com
130.211.16.53,d.joinhoney.com
54.186.10.67,ekg.riotgames.com
128.116.112.44,users.roblox.com
54.186.10.67,ekg.riotgames.com
40.67.188.15,presence-heartbeat.xboxlive.com
23.51.184.143,store.steampowered.com
23.51.184.143,store.steampowered.com
23.51.184.143,store.steampowered.com
23.51.184.143,store.steampowered.com
23.51.184.143,store.steampowered.com
23.51.184.143,store.steampowered.com
104.16.37.99,playerpreferences.riotgames.com
52.73.31.177,river.data.ea.com
104.16.2.92,na.ledge.leagueoflegends.com
59.111.0.200,mumu.nie.netease.com
52.179.129.229,arc.msn.com
54.186.10.67,ekg.riotgames.com
35.186.224.47,dealer.spotify.com
104.17.165.5,pft.leagueoflegends.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
52.10.101.255,ekg.riotgames.com
104.16.3.92,na.statstones.leagueoflegends.com
54.186.10.67,ekg.riotgames.com
13.225.62.56,api-cache.blizzcon.com
103.130.100.18,nb.cloudmatrix.com.tw
45.57.90.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
34.232.235.235,www.netflix.com
23.22.252.240,perr.hola.org
13.226.37.216,d3cv4a9a9wh0bt.cloudfront.net
40.67.188.15,presence-heartbeat.xboxlive.com
8.36.80.236,events.gfe.nvidia.com
8.36.80.236,events.gfe.nvidia.com
134.209.131.220,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
40.79.65.78,array508.prod.do.dsp.mp.microsoft.com
52.73.31.177,river.data.ea.com
69.166.1.15,apex.go.sonobi.com
185.151.204.50,view.adjust.com
52.114.128.43,mobile.pipe.aria.microsoft.com
52.21.75.104,pixel.adsafeprotected.com
23.192.75.231,api.steampowered.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
104.244.37.20,dt.adsafeprotected.com
52.114.75.78,v10.events.data.microsoft.com
40.90.22.192,login.live.com
172.253.122.188,mtalk.google.com
23.22.252.240,perr.hola.org
104.40.91.191,smartscreen-prod.microsoft.com
52.1.184.222,datarouter.ol.epicgames.com
34.227.0.168,prd-collector-anon.playbuzz.com
35.186.224.53,spclient.wg.spotify.com
23.40.30.29,us-prof.np.community.playstation.net
23.40.30.29,us-ivt.np.community.playstation.net
31.13.66.35,www.facebook.com
23.48.215.233,static.nvidiagrid.net
172.217.12.194,adservice.google.com
52.179.129.229,arc.msn.com
34.193.212.56,rtr.innovid.com
3.208.109.74,s.innovid.com
3.208.109.74,s.innovid.com
23.193.217.206,cdn.doubleverify.com
34.232.193.62,ag.innovid.com
34.232.193.62,ag.innovid.com
3.208.109.74,s.innovid.com
23.194.121.59,secure.insightexpressai.com
23.194.121.45,s-cdn.innovid.com
34.233.202.133,imtwjwoasak.com
13.225.62.61,secure-gl.imrworldwide.com
13.226.39.29,d.agkn.com
204.154.111.144,tps.doubleverify.com
31.13.66.35,www.facebook.com
204.154.111.144,tps10265.doubleverify.com
162.159.133.233,discordapp.com
52.6.156.139,abcnews.hb.omtrdc.net
23.43.56.192,steamcommunity-a.akamaihd.net
128.116.112.44,users.roblox.com
151.139.128.10,cdn.intergi.com
104.16.125.175,unpkg.com
104.27.139.150,epic7x.com
13.225.62.57,cdn.pubguru.com
172.253.122.188,mtalk.google.com
23.22.252.240,perr.hola.org
74.125.0.10,r4---sn-ab5l6nsy.googlevideo.com
151.101.65.28,bandcamp.com
151.101.65.28,bandcamp.com
151.101.65.28,bandcamp.com
172.217.3.106,translate.googleapis.com
151.101.1.5,s4.bcbits.com
151.101.1.5,s4.bcbits.com
151.101.1.5,s4.bcbits.com
151.101.1.5,s4.bcbits.com
151.101.1.5,s4.bcbits.com
192.0.78.179,blog.counter-strike.net
151.101.250.214,api.twitch.tv
23.38.167.33,steamcdn-a.akamaihd.net
52.73.31.177,river.data.ea.com
