20.36.218.63,settings.data.microsoft.com
52.25.170.114,ekg.riotgames.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
23.194.122.92,livetileedge.dsx.mp.microsoft.com
13.65.85.146,tm-sdk.platinumai.net
104.214.18.134,pla-prod-scu-sb-ns-ingest-02.servicebus.windows.net
52.71.235.116,developer.api.autodesk.com
52.46.132.133,firehose.us-east-1.amazonaws.com
52.114.7.39,browser.pipe.aria.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
191.232.139.2,fe3.delivery.mp.microsoft.com
23.221.200.12,gameplayapi.intel.com
17.248.187.9,gateway.icloud.com
17.248.135.18,metrics.icloud.com
34.232.247.41,datarouter.ol.epicgames.com
17.249.121.246,api-glb-nyc.smoot.apple.com
23.194.120.195,api1.origin.com
172.217.10.10,wirelessdevicestats.googleapis.com
172.217.10.10,wirelessdevicestats.googleapis.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.253.130.84,geo.prod.do.dsp.mp.microsoft.com
52.179.129.229,arc.msn.com
23.206.171.140,kv601.prod.do.dsp.mp.microsoft.com
23.206.171.140,cp601.prod.do.dsp.mp.microsoft.com
23.206.171.140,cp601.prod.do.dsp.mp.microsoft.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
191.232.139.2,fe3.delivery.mp.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
148.153.64.18,api.vc.bilibili.com
52.225.251.2,public.settings.family.microsoft.com
40.121.151.238,stnd-ipsg.crsi.norton.com
20.44.85.237,displaycatalog.mp.microsoft.com
8.36.80.236,events.gfe.nvidia.com
40.121.151.238,stnd-ipsg.crsi.norton.com
191.232.139.2,fe3.delivery.mp.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
23.206.171.140,cp601.prod.do.dsp.mp.microsoft.com
191.232.139.2,fe3.delivery.mp.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
40.121.151.238,stnd-ipsg.crsi.norton.com
23.206.171.140,cp601.prod.do.dsp.mp.microsoft.com
191.232.139.2,fe3.delivery.mp.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
52.114.32.7,mobile.pipe.aria.microsoft.com
52.114.32.7,mobile.pipe.aria.microsoft.com
23.206.171.140,cp601.prod.do.dsp.mp.microsoft.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
23.51.184.143,store.steampowered.com
31.13.65.7,scontent-atl3-1.xx.fbcdn.net
172.217.10.234,fcmconnection.googleapis.com
13.225.62.53,js.prd.fusionapi.autodesk.com
23.51.184.143,store.steampowered.com
13.226.36.189,d3cv4a9a9wh0bt.cloudfront.net
130.211.16.53,d.joinhoney.com
130.211.26.229,s.joinhoney.com
23.192.75.231,steamcommunity.com
23.192.75.231,api.steampowered.com
23.51.184.143,store.steampowered.com
23.47.146.53,radio-activity.itunes.apple.com
13.225.62.25,f360sc-p-ue1.api.cosv2-p-ue1-dn.autodesk.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
40.121.151.238,stnd-ipsg.crsi.norton.com
191.232.139.2,fe3.delivery.mp.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
52.225.251.2,public.settings.family.microsoft.com
23.206.171.140,cp601.prod.do.dsp.mp.microsoft.com
52.11.105.241,ekg.riotgames.com
40.67.188.15,presence-heartbeat.xboxlive.com
