96.6.24.204,fswitch.dl.playstation.net
104.26.15.132,cdn1m3.barebackrt.com
104.26.15.132,cdn3m3.barebackrt.com
104.26.15.132,cdn9m3.barebackrt.com
52.206.125.160,fls-na.amazon.com
23.193.179.89,www.amazon.com
34.197.43.172,aascraperservice.prod.us-east-1.scraper.assistant.a2z.com
52.109.76.36,nexus.officeapps.live.com
52.216.160.51,aa-scraper-supported-prod-us-east-1.s3.amazonaws.com
184.24.104.58,bag.itunes.apple.com
54.92.24.180,singapore.kinokuniya.com
54.239.23.96,horizonte.browserapps.amazon.com
52.206.125.160,fls-na.amazon.com
104.196.12.179,eg.poly.edu
13.107.42.12,d.docs.live.net
13.107.3.128,config.edge.skype.com
52.109.120.17,nexusrules.officeapps.live.com
13.107.42.12,d.docs.live.net
13.225.64.74,d3cv4a9a9wh0bt.cloudfront.net
178.128.135.80,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
52.179.129.229,arc.msn.com
68.67.178.10,nym1-ib.adnxs.com
68.67.178.10,nym1-ib.adnxs.com
185.167.164.37,c1.adform.net
104.83.66.10,steamcommunity.com
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
172.217.7.10,play.googleapis.com
172.217.7.10,play.googleapis.com
172.217.12.142,play.google.com
68.67.178.15,ib.adnxs.com
172.217.11.46,clients4.google.com
54.217.255.92,a.wunderlist.com
54.217.255.92,a.wunderlist.com
54.217.255.92,a.wunderlist.com
54.217.255.92,a.wunderlist.com
54.217.255.92,a.wunderlist.com
130.211.16.53,d.joinhoney.com
172.217.6.205,accounts.google.com
172.217.6.205,accounts.google.com
24.105.29.76,telemetry-in.battle.net
31.13.66.4,www.messenger.com
23.246.7.198,ipv4-c370-nyc001-ix.1.oca.nflxvideo.net
23.246.7.198,ipv4-c370-nyc001-ix.1.oca.nflxvideo.net
17.132.20.27,us-east-1.blobstore.apple.com
17.248.135.118,edge-085.usnyc.icloud-content.com
13.107.42.12,d.docs.live.net
17.248.135.118,edge-085.usnyc.icloud-content.com
23.246.7.182,ipv4-c354-nyc001-ix.1.oca.nflxvideo.net
13.225.64.110,d3cv4a9a9wh0bt.cloudfront.net
172.217.10.46,i9.ytimg.com
40.67.188.15,presence-heartbeat.xboxlive.com
216.165.46.10,newclasses.nyu.edu
104.16.3.92,na.ledge.leagueoflegends.com
45.57.91.1,assets.nflxext.com
45.57.91.1,codex.nflxext.com
52.51.179.14,www.netflix.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
13.107.136.9,nyu0-my.sharepoint.com
23.246.7.202,ipv4-c374-nyc001-ix.1.oca.nflxvideo.net
54.84.166.143,datarouter.ol.epicgames.com
162.159.130.233,discordapp.com
13.107.42.12,d.docs.live.net
37.228.108.133,autoupdate.geo.opera.com
37.228.108.133,autoupdate.geo.opera.com
104.16.198.132,entitlements.auth.riotgames.com
34.225.169.10,rtm.tnt-ea.com
13.226.39.6,bci.kinokuniya.com
13.226.39.6,bci.kinokuniya.com
13.226.39.6,bci.kinokuniya.com
13.226.39.6,bci.kinokuniya.com
13.226.39.6,bci.kinokuniya.com
13.226.39.6,bci.kinokuniya.com
172.217.9.238,books.google.com
172.217.9.238,books.google.com
23.43.252.49,settings-ssl.xboxlive.com
17.248.135.244,api.apple-cloudkit.com
52.114.76.35,v10.events.data.microsoft.com
35.186.224.53,api.spotify.com
40.90.22.190,login.live.com
35.186.224.47,dealer.spotify.com
52.34.208.16,ekg.riotgames.com
172.217.10.42,remotedesktop-pa.googleapis.com
172.217.10.42,remotedesktop-pa.googleapis.com
178.128.135.80,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
13.107.42.12,d.docs.live.net
68.67.178.10,nym1-ib.adnxs.com
68.67.178.10,nym1-ib.adnxs.com
185.167.164.37,c1.adform.net
68.67.178.15,ib.adnxs.com
13.107.3.128,config.edge.skype.com
31.13.66.4,www.messenger.com
52.179.129.229,arc.msn.com
203.205.136.105,pub.idqqimg.com
172.217.11.14,sb-ssl.google.com
52.218.222.19,ubp-common-us-prod.s3.amazonaws.com
52.218.246.224,s3-us-west-2.amazonaws.com
148.153.64.18,api.vc.bilibili.com
13.107.42.12,d.docs.live.net
172.217.12.131,beacons3.gvt2.com
173.194.131.42,r4---sn-ab5l6n67.googlevideo.com
173.194.131.42,r4---sn-ab5l6n67.googlevideo.com
20.36.219.28,activity.windows.com
173.194.131.136,r2---sn-ab5l6n6l.googlevideo.com
173.194.131.136,r2---sn-ab5l6n6l.googlevideo.com
172.217.12.130,securepubads.g.doubleclick.net
23.20.28.69,ss-prod-ue1-notif-32.aws.adobess.com
20.36.219.28,activity.windows.com
52.109.12.5,www.onenote.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
52.109.16.6,ocws.officeapps.live.com
40.90.136.1,apis.live.net
40.90.136.1,apis.live.net
209.85.201.109,imap.gmail.com
209.85.201.109,imap.gmail.com
104.196.12.179,eg.poly.edu
173.194.185.169,r4---sn-ab5sznlk.googlevideo.com
173.194.185.169,r4---sn-ab5sznlk.googlevideo.com
13.225.212.25,api-cache.blizzcon.com
13.107.42.12,d.docs.live.net
24.105.29.76,telemetry-in.battle.net
104.42.39.77,api.momentumdash.com
52.41.8.68,ekg.riotgames.com
13.225.210.120,d3cv4a9a9wh0bt.cloudfront.net
13.107.42.12,d.docs.live.net
173.194.185.169,r4---sn-ab5sznlk.googlevideo.com
13.107.136.9,nyu0-my.sharepoint.com
72.21.91.70,pbs.twimg.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
72.21.91.70,pbs.twimg.com
13.225.59.51,api-v2.soundcloud.com
104.17.209.9,api.golinkapi.com
216.165.46.10,newclasses.nyu.edu
35.241.52.229,cdp.cloud.unity3d.com
13.107.42.12,d.docs.live.net
151.101.250.167,gql.twitch.tv
104.16.122.97,www.webassign.net
151.101.250.214,static-cdn.jtvnw.net
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
52.114.77.33,mobile.pipe.aria.microsoft.com
104.83.66.10,steamcommunity.com
178.128.135.80,e.serverbid.com
69.166.1.15,apex.go.sonobi.com
68.67.178.10,nym1-ib.adnxs.com
68.67.178.10,nym1-ib.adnxs.com
185.167.164.37,c1.adform.net
199.38.167.128,a.rfihub.com
52.109.6.6,roaming.officeapps.live.com
68.67.178.15,ib.adnxs.com
13.107.42.12,d.docs.live.net
13.107.42.12,d.docs.live.net
172.217.10.238,play.google.com
172.217.10.238,play.google.com
172.217.9.229,mail.google.com
3.213.30.101,sstats.adobe.com
151.101.1.164,int.nyt.com
151.101.1.164,static01.nyt.com
172.217.10.243,a.et.nytimes.com
31.13.66.19,scontent-iad3-1.xx.fbcdn.net
52.179.129.229,arc.msn.com
151.101.1.164,int.nyt.com
13.225.70.217,c.amazon-adsystem.com
151.101.1.164,g1.nyt.com
52.9.75.202,hbxlp.media.net
35.244.188.62,als-svc.nytimes.com
23.60.74.114,contextual.media.net
172.217.197.81,pay.sandbox.google.com
23.40.28.198,cdn.optimizely.com
35.241.35.241,meter-svc.nytimes.com
172.217.10.243,a.nytimes.com
52.55.209.29,et.nytimes.com
52.55.209.29,et.nytimes.com
52.55.209.29,et.nytimes.com
52.55.209.29,et.nytimes.com
52.55.209.29,et.nytimes.com
13.225.212.33,js.datadome.co
104.72.76.95,sb.scorecardresearch.com
17.248.135.10,p42-ckdatabase.icloud.com
162.159.134.233,discordapp.com
23.78.199.149,a3013110282.cdn.optimizely.com
23.10.89.229,tags.bluekai.com
52.86.84.216,api-js.datadome.co
17.188.229.7,us-east-1.blobstore.apple.com
23.10.89.229,stags.bluekai.com
23.10.89.229,stags.bluekai.com
204.79.197.200,c.bing.com
151.101.2.49,sync-tm.everesttech.net
104.244.42.131,analytics.twitter.com
104.18.32.108,platform.iteratehq.com
17.248.135.118,edge-085.usnyc.icloud-content.com
104.18.32.108,iteratehq.com
2.18.158.61,use.typekit.net
52.55.162.201,logx.optimizely.com
203.205.158.52,wa.qq.com
17.248.135.241,p42-ckdatabase.icloud.com
17.248.135.241,p42-ckdatabase.icloud.com
17.248.135.118,edge-085.usnyc.icloud-content.com
13.107.42.12,d.docs.live.net
172.217.10.74,oauthaccountmanager.googleapis.com
172.217.10.133,inbox.google.com
172.217.10.133,inbox.google.com
172.217.10.133,inbox.google.com
203.205.158.52,wa.qq.com
52.109.6.6,roaming.officeapps.live.com
172.217.10.131,ssl.gstatic.com
18.213.23.109,udc-service.mathworks.com
45.57.91.1,assets.nflxext.com
45.57.90.1,codex.nflxext.com
172.217.3.99,www.gstatic.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
13.107.136.9,nyu0-my.sharepoint.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
17.188.229.7,us-east-1.blobstore.apple.com
13.107.42.12,d.docs.live.net
17.248.135.118,edge-085.usnyc.icloud-content.com
