40.91.72.120,presence-heartbeat.xboxlive.com
31.13.65.36,www.facebook.com
31.13.65.1,www.messenger.com
172.217.7.3,update.googleapis.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
172.217.10.10,youtubei.googleapis.com
172.217.12.214,i.ytimg.com
35.186.220.184,collector-pxzyvfoxac.px-cloud.net
172.217.11.46,clients3.google.com
172.217.9.226,www.googleadservices.com
172.217.10.234,oauthaccountmanager.googleapis.com
172.217.12.138,people-pa.googleapis.com
172.217.10.225,yt3.ggpht.com
172.217.12.214,i.ytimg.com
172.217.11.36,www.google.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
72.21.206.141,aax-us-east.amazon-adsystem.com
172.217.6.194,googleads.g.doubleclick.net
192.229.173.16,pbs.twimg.com
192.229.173.16,pbs.twimg.com
104.244.42.2,api.twitter.com
172.217.10.14,www.youtube.com
172.217.7.14,i2.ytimg.com
172.217.10.225,yt3.ggpht.com
172.253.122.188,mtalk.google.com
173.194.7.8,r2---sn-p5qlsns6.googlevideo.com
172.217.12.174,suggestqueries.google.com
35.186.224.47,dealer.spotify.com
172.217.7.14,redirector.googlevideo.com
164.52.33.179,data.bilibili.com
17.248.135.42,p27-ckdatabase.icloud.com
148.153.64.18,api.vc.bilibili.com
3.221.245.228,public-ubiservices.ubi.com
172.253.63.109,imap.gmail.com
172.253.63.109,imap.gmail.com
47.246.46.231,s1.hdslb.com
52.73.237.45,www.netflix.com
34.68.125.225,rpc.znly.co
17.142.171.9,gs-loc.apple.com
148.153.64.18,api.bilibili.com
17.248.135.42,p27-ckdatabase.icloud.com
17.248.187.208,p27-content.icloud.com
17.248.135.211,edge-123.usnyc.icloud-content.com
45.57.90.1,codex.nflxext.com
52.200.116.91,www.netflix.com
172.217.11.10,www.googleapis.com
23.192.69.74,steam-chat.com
172.217.11.46,app-measurement.com
172.217.11.46,app-measurement.com
52.114.128.9,mobile.pipe.aria.microsoft.com
172.217.11.10,www.googleapis.com
172.217.11.10,www.googleapis.com
172.217.11.10,www.googleapis.com
13.225.212.160,static.playstove.com
172.217.11.10,www.googleapis.com
13.225.212.160,static.playstove.com
172.217.11.10,www.googleapis.com
23.78.175.142,apis.playstove.com
23.78.195.232,api.onstove.com
211.234.127.21,logs.81plug.com
172.217.12.202,play.googleapis.com
172.217.12.202,play.googleapis.com
172.217.12.202,play.googleapis.com
