3.224.19.58,account-public-service-prod.ak.epicgames.com
172.217.11.19,www.flashvid.net
198.134.112.243,padsdown.com
35.186.224.53,api.spotify.com
52.114.128.44,v10.events.data.microsoft.com
172.217.6.202,www.googleapis.com
31.13.65.1,www.messenger.com
17.248.187.70,gateway.icloud.com
52.114.76.35,browser.pipe.aria.microsoft.com
128.116.112.44,users.roblox.com
52.179.129.229,arc.msn.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
17.248.187.70,gateway.icloud.com
172.217.9.229,mail.google.com
18.211.132.23,play.hulu.com
23.43.253.52,api1.origin.com
23.43.253.52,api1.origin.com
52.114.77.33,mobile.pipe.aria.microsoft.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.16,shibboleth.nyu.edu
173.194.31.73,r3---sn-ab5szn7z.googlevideo.com
51.143.111.7,watson.telemetry.microsoft.com
52.114.6.47,v10.events.data.microsoft.com
104.122.146.167,go.microsoft.com
93.184.215.201,download.visualstudio.microsoft.com
93.184.215.201,download.visualstudio.microsoft.com
104.31.75.156,twitchemotes.com
52.114.36.4,v10.events.data.microsoft.com
54.71.49.71,772d8.playfabapi.com
178.63.70.146,easylist-downloads.adblockplus.org
72.22.185.209,steamcdn-a.akamaihd.net
72.22.185.209,steamcdn-a.akamaihd.net
72.22.185.209,steamcdn-a.akamaihd.net
104.126.112.11,settings-ssl.xboxlive.com
148.153.64.18,api.vc.bilibili.com
35.186.224.53,spclient.wg.spotify.com
34.73.232.153,www.overleaf.com
13.107.3.128,config.edge.skype.com
211.234.127.21,logs.81plug.com
52.4.1.167,datarouter.ol.epicgames.com
13.107.21.200,www.bing.com
209.197.3.15,maxcdn.bootstrapcdn.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
17.248.135.136,gateway-carry.icloud.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
13.78.187.58,array802.prod.do.dsp.mp.microsoft.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
152.195.54.20,services.gfe.nvidia.com
